UserID,FirstName,LastName,Mobile,Address,PinCode,State,Age,Gender,DOB
4.56E+11,Indrajit,Arora,6036970656,"52/696, Kumar Ganj, Gurgaon-163300",405674,Delhi,74,Male,7/9/1950
9.07E+11,Ehsaan,Yadav,3498849964,"80/03, Gupta Marg, Hubli–Dharwad-269421",605456,Madhya Pradesh,62,Male,7/6/1962
5.07E+11,Vritika,Shankar,9567698393,"67/81, Kalita Marg, Jodhpur 481818",380084,Andhra Pradesh,72,Female,4/6/1952
6.93E+11,Divij,Brahmbhatt,3827979184,"48/85, Kumer Circle, Serampore-333090",542640,Tamil Nadu,73,Male,19/01/1952
1.85E+11,Nayantara,Barman,7350172657,"23, Mammen Marg, Siliguri-860732",506351,Tamil Nadu,87,Female,4/7/1937
2.06E+11,Heer,Warrior,1060944925,"55, Kamdar Nagar, Jamnagar 068013",232209,Tamil Nadu,86,Female,23/07/1938
4.71E+11,Parinaaz,Jayaraman,7264686257,"H.No. 049, Chadha Marg, Thanjavur 061454",139767,Madhya Pradesh,68,Female,19/06/1956
1.03E+11,Saira,Bhat,8913165503,"94, Swaminathan, Visakhapatnam 502360",57184,Odisha,84,Male,26/12/1940
1.58E+11,Priyansh,Chaudhari,2399503707,"72/35, Bhatia Road, Phagwara-420342",371101,Tamil Nadu,36,Female,24/10/1988
2.88E+11,Ira,Srivastava,5724735849,"H.No. 09, Venkatesh Nagar, Bhopal 679964",876951,Jharkhand,45,Male,17/10/1979
2.95E+11,Anvi,Shetty,5251334499,"H.No. 648, Borde Chowk, Guntakal 834930",832706,Andhra Pradesh,63,Female,22/08/1961
4.27E+11,Suhana,Kibe,6855720804,"38/756, Roy Circle, Thrissur-556984",416522,Haryana,73,Female,27/01/1952
2.88E+11,Ehsaan,Dave,5705822643,"H.No. 97, Rajagopal Circle, Vijayawada 982362",235236,Telangana,76,Female,19/06/1948
6.18E+11,Chirag,Atwal,2971955530,"00/85, Zacharia Path, South Dumdum-927734",295499,Odisha,58,Male,29/03/1967
4.73E+11,Manikya,Master,1832306225,"H.No. 53, Garde Circle, Shahjahanpur-009809",505586,West Bengal,74,Male,4/7/1950
3.24E+11,Dishani,Gera,2445018049,"H.No. 14, Bahri, Shahjahanpur-939939",893827,Haryana,30,Male,29/12/1994
